الشركة,المدينة,الوظيفة,LinkedIn ID,إيميل التوظيف,الموقع,الحالة
OHC,الرياض,Secretary,4410027095,,https://ohc.com.sa,تم التقديم
ملاذ القانون,الرياض,Executive Office Manager,4412898901,,https://malath-law.com,تم التقديم
Opal Business,الرياض,Executive Secretary,4410169918,,https://opalbusiness.com,تم التقديم
InnovationTeam,الرياض,Executive Secretary,4417064491,,https://innovationteam.com.sa,تم التقديم
مجموعة القفاري,الرياض,Executive Secretary,4380797425,,https://algafary.com,تم التقديم
Qiddiya,الرياض,Executive Assistant,4409931888,careers@qiddiya.com,https://qiddiya.com,تم التقديم
Lucidya,الرياض,Executive Assistant,4399224726,jobs@lucidya.com,https://lucidya.com,تم التقديم
TasHelat,الرياض,Operation Coordinator,4374577607,hr@tashelat.com,https://tashelat.com,تم التقديم
Al Zan Building Materials,الرياض,Administrator,4413618114,,https://alzan.com,تم التقديم
2P Perfect,الرياض,Admin & Safety Specialist,4410190306,,https://2pperfect.com,تم التقديم
MS PHARMA,الرياض,Receptionist,4413302514,,https://mspharma.com,تم التقديم
MAISON CARE HS,الرياض,Receptionist,4410367686,,https://maisoncare.com,تم التقديم
Radisson Hotel Group,الرياض,Receptionist,4366105842,careers@radissonhotelgroup.com,https://radissonhotelgroup.com,تم التقديم
webook.com,الرياض,Project Coordinator,4371433269,jobs@webook.com,https://webook.com,تم التقديم
TAWANTECH,الرياض,Digital PMO,4412565005,,https://tawantech.com,تم التقديم
ATA7ADAK,الرياض,Project Manager PMP,4413638314,,https://ata7adak.com,تم التقديم
Master Works,الرياض,Program Management Asst Mgr,4416664784,hr@masterworks.sa,https://masterworks.sa,تم التقديم
Wisys,الرياض,Project Manager,4416680176,,https://wisys.com.sa,تم التقديم
Segadty,الرياض,HR & Admin Ops Specialist,4373864067,hr@segadty.com,https://segadty.com,تم التقديم
JASARA,الرياض,PMO Manager,4349394524,careers@jasara.com,https://jasara.com,تم التقديم
Pillarum Global,الرياض,Secretary,4412822175,,https://pillarumglobal.com,تم التقديم
avua,عن بعد,Administrative Assistant,4415333988,,https://avua.com,تم التقديم
Crossing Hurdles,عن بعد,Admin & Executive Support,4413875908,,https://crossinghurdles.com,تم التقديم
DOSSA,عن بعد,Styling Assistant & EA,4413313722,,https://dossa.co,تم التقديم
Jet Media Solutions,عن بعد,Back Office Employee,4417311945,,https://jetmediasolutions.com,تم التقديم
Axonic Insurance,عن بعد,Enterprise Operations Specialist,4416322527,,https://axonicinsurance.com,تم التقديم
Bee Stinger Brands,عن بعد,Administrative Analyst,4417336093,,https://beestinger.com,تم التقديم
HIREXE,عن بعد,Executive Assistant,4417316769,,https://hirexe.com,تم التقديم
Package Squad,عن بعد,Ops Administrative Assistant,4417013942,,https://packagesquad.com,تم التقديم
Talent Global LLC,عن بعد,Operations Assistant,4416104731,,https://talentglobal.com,تم التقديم
LHH,عن بعد,Contract Administrator,4416119269,,https://lhh.com,تم التقديم
Clerk-Tech,عن بعد,Virtual Assistant,4413346608,,https://clerk-tech.com,تم التقديم
Alghanim Industries,الرياض,Admin Assistant,4403979963,careers@alghanim.com,https://alghanim.com,تم التقديم
PROVEN,الرياض,Office Administrator,4402896613,,https://proven-sa.com,تم التقديم
KAFD,الرياض,Office Administrator,4402635446,careers@kafd.sa,https://kafd.sa,تم التقديم
ALJREEF,الرياض,Office Manager,4409630074,,https://aljreef.com,تم التقديم
AZmeel,الرياض,Admin Assistant,4405379995,hr@azmeel.com,https://azmeel.com,تم التقديم
Aqua-Tots Saudi Arabia,الرياض,Government & Public Relations Officer,4408866301,,https://aqua-tots.com,تم التقديم
Navantia Arabia,الرياض,Human Resources Assistant,4412798563,,https://navantia.es,تم التقديم
UFCGYMKSA,الرياض,Reception,4401640359,,https://ufcgymksa.com,تم التقديم
REHAL AIR CARGO,الرياض,Office & Operations Coordinator,4412224586,,https://rehalaircargo.com,تم التقديم
Nova Water,الرياض,HR Operations Specialist,4411177141,hr@novawater.com,https://novawater.com,تم التقديم
GFA - Global Financial Advisors,الرياض,Local Content Expert,4409283582,,https://gfa.com.sa,تم التقديم
Riyadh University of Arts,الرياض,Library Assistant,4412092874,,https://rua.edu.sa,تم التقديم
TASC Outsourcing,الرياض,HR Admin Support 6 Month Contract,4415452105,hr@tascoutsourcing.com,https://tascoutsourcing.com,تم التقديم
Rentokil Initial,السعودية,HR Coordinator,4410023641,careers@rentokil-initial.com,https://rentokil-initial.com,تم التقديم
Nassr Albarakati Law Firm,الرياض,Administrative Assistant,4413680484,,https://nassralbarakati.com,تم التقديم
SEK International Schools,السعودية,HR & Government Relations Officer,4368360791,hr@sekschool.com,https://sekschool.com,تم التقديم
Sumou Investment,الرياض,Government Relations Officer,4413665932,,https://sumou.com.sa,تم التقديم
Knight Frank Middle East,الرياض,HR and Government Relations Manager,4417129860,careers@knightfrank.com,https://knightfrank.com,تم التقديم
51Talk,السعودية,Government Relations Manager,4417497552,hr@51talk.com,https://51talk.com,تم التقديم
Red Sea Gateway Terminal,جدة,Documentation Operations Assistant,4415775081,hr@rsgt.com,https://rsgt.com,تم التقديم
Confidential Government,جدة,Receptionist,4413699035,,https://gov.sa,تم التقديم
Abunayyan Holding,الرياض,Office Document Controller,4410553689,hr@abunayyan.com,https://abunayyan.com,تم التقديم
Dussmann-Ajlan & Bros,الرياض,Document Controller,4406031928,,https://dussmann.com,تم التقديم
ECEC East Consulting,جدة,Document Controller,4416235517,,https://ececest.com,تم التقديم
Air Products,ضبا,Document Controller,4416632052,careers@airproducts.com,https://airproducts.com,تم التقديم
Cooperman & Goldberg,الرياض,Document Controller,4402273239,,https://cooperman-goldberg.com,تم التقديم
Al-Enjaz Company,الرياض,Administrative Assistant,4407126367,,https://alenjaz.com,تم التقديم
Confidential,الرياض,Executive Assistant,4408183737,,https://confidential.com,تم التقديم
KAFAAT Recruitment,الدمام,Office Manager,4416135764,info@kafaat.com,https://kafaat.com,تم التقديم
الماجد للعود,الرياض,Administrative Assistant,4417048475,,https://almajed4oud.com,تم التقديم
APEX Resources,الدمام,Admin Assistant Educational Institute,4413362002,,https://apexresources.com,تم التقديم
جامعة سليمان الراجحي,الرياض,مساعد إداري,4416569450,hr@sr.edu.sa,https://sr.edu.sa,تم التقديم
FOL Management,الرياض,Document Controller,4387426019,,https://folmanagement.com,تم التقديم
HanmiGlobal MENA,الرياض,Sr. Document Controller,4384586848,hr@hanmiglobal.com,https://hanmiglobal.com,تم التقديم
Saudi Arabian Rugby Federation,الرياض,Sport Admin,4411558201,,https://saudi-rugby.com,تم التقديم
