م,الشركة,المدينة,الوظيفة,إيميل التوظيف,أقرب إيميل,LinkedIn HR,حالة الإرسال
1,Abunayyan Holding,الرياض,Office Document Controller,recruitment@abunayyanholding.com,,,
2,Qiddiya,الرياض,Executive Assistant,,,hr@qiddiya.com,,
3,webook.com,الرياض,Project Coordinator,,,hr@webook.com,,
4,JASARA,الرياض,PMO Manager,,,careers@jasara.com,,
5,KAFD,الرياض,Office Administrator,,,careers@kafd.sa,,
6,Red Sea Gateway Terminal,جدة,Documentation Operations Assistant,,,hr@rsgt.com.sa,,
7,Alghanim Industries,الرياض,Admin Assistant,,,careers@alghanim.com,,
8,Nova Water,الرياض,HR Operations Specialist,,,hr@novawater.com.sa,,
9,TASC Outsourcing,الرياض,HR Admin Support,,,hr@tascoutsourcing.com,,
10,Knight Frank Middle East,الرياض,HR and GR Manager,,,careers@knightfrank.com,,
11,Air Products,ضبا,Document Controller,,,careers@airproducts.com,,
12,Al-Enjaz Company,الرياض,Administrative Assistant,info@al-enjaz.com,,,
13,Swisslinx Middle East,جدة,Office Manager / EA,jobs@swisslinx.com,,,
14,TCS Tata Consultancy Services,السعودية,Admin Facility in Charge,careers@tcs.com,,,
15,Lichi,جدة,Store Manager Assistant,,,hr@lichi.com,,
16,DINGLI,السعودية,Sales Coordinator,,,info@dingli.com,,
17,TalentHUB,السعودية,Procurement Coordinator,jobs@talenthub.com,,,
18,HanmiGlobal MENA,الرياض,Sr. Document Controller,hr@hanmiglobal.com,,,
19,Radisson Hotel Group,الرياض,Receptionist,,,careers@radissonhotels.com,,
20,AZmeel,الرياض,Admin Assistant,hr@azmeel.com,,,
21,Aqua-Tots Saudi Arabia,الرياض,GR Officer,,,hr@aqua-tots.com,,
22,Segadty,الرياض,HR & Admin Ops Specialist,hr@segadty.com,,,
23,Master Works,الرياض,Program Management Asst Mgr,hr@masterworks.sa,,,
24,Sumou Investment,الرياض,GR Officer,,,hr@sumou.com.sa,,
25,SEK International Schools,السعودية,HR & GR Officer,hr@sekschool.com,,,
26,Middle East Supplies Company,السعودية,Cash Flow & Treasury Analyst,,,hr@mesc.com.sa,,
27,Hodaithy International Group,السعودية,Secretary,,,hr@hodaithy.com,,
28,SETCCO,السعودية,HR Specialist,,,hr@setcco.com,,
29,Al Khozama Investment,السعودية,HR Trainee Tamheer,hr@alkhozama.com,,,
30,KAFAAT Recruitment,الدمام,Office Manager,info@kafaat.com,,,
31,الماجد للعود,الرياض,Administrative Assistant,,,hr@almajedoud.com,,
32,جامعة سليمان الراجحي,الرياض,مساعد إداري,hr@sr.edu.sa,,,
33,FOL Management,الرياض,Document Controller,,,hr@folmanagement.com,,
34,Saudi Arabian Rugby Federation,الرياض,Sport Admin,,,info@saudi-rugby.com,,
35,Hyoon Security Systems,السعودية,General Accountant,,,hr@hyoon.com.sa,,
36,ECEC East Consulting,جدة,Document Controller,,,hr@ececest.com,,
37,Dussmann-Ajlan & Bros,الرياض,Document Controller,,,hr@dussmann.com,,
38,Cooperman & Goldberg,الرياض,Document Controller,,,info@cooperman-goldberg.com,,
39,Integral Hotel Supplies,السعودية,Supply Chain Manager,,,hr@integralhotelsupplies.com,,
40,Mindrift,عن بعد,Freelance English Writer,,,careers@mindrift.ai,,
41,The Zero Agency,عن بعد,Freelance Arabic Translator,,,info@thezeroagency.com,,
42,PROVEN,الرياض,Office Administrator,,,hr@proven-sa.com,,
43,Navantia Arabia,الرياض,HR Assistant,,,hr@navantia.es,,
44,REHAL AIR CARGO,الرياض,Office & Ops Coordinator,,,hr@rehalaircargo.com,,
45,GFA Global Financial Advisors,الرياض,Local Content Expert,,,hr@gfa.com.sa,,
46,Rentokil Initial,السعودية,HR Coordinator,careers@rentokil-initial.com,,,
47,51Talk,السعودية,GR Manager,hr@51talk.com,,,
48,ALJREEF,الرياض,Office Manager,,,hr@aljreef.com,,
49,Mahmoud Albarakati Law Firm,الرياض,Admin Assistant,,,info@nassralbarakati.com,,
50,InnovationTeam,الرياض,Executive Secretary,,,hr@innovationteam.com.sa,,
